A,B
100,0.17
200,0.265
300,0.38
400,0.45
500,0.535
600,0.535
700,0.56
800,0.57
900,0.6
1000,0.645
1100,0.64
1200,0.715
1300,0.735
1400,0.73
1500,0.745
1600,0.735
1700,0.75
1800,0.78
1900,0.805
2000,0.805
2100,0.79
2200,0.82
2300,0.84
2400,0.775
2500,0.875
2600,0.825
2700,0.865
2800,0.85
2900,0.875
3000,0.84
3100,0.82
3200,0.85
3300,0.83
3400,0.91
3500,0.86
3600,0.855
3700,0.875
3800,0.87
3900,0.88
4000,0.89
4100,0.91
4200,0.91
4300,0.935
4400,0.885
4500,0.9
4600,0.91
4700,0.9
4800,0.92
4900,0.93
5000,0.905
5100,0.915
5200,0.89
5300,0.935
5400,0.9
5500,0.925
5600,0.905
5700,0.94
5800,0.91
5900,0.92
6000,0.905
6100,0.93
6200,0.9
6300,0.925
6400,0.925
6500,0.91
6600,0.96
6700,0.915
6800,0.925
6900,0.92
7000,0.935
7100,0.935
7200,0.975
7300,0.925
7400,0.925
7500,0.945
7600,0.96
7700,0.95
7800,0.95
